,cluster,cluster_label,seasonal_ndvi_integral,percentile_in_cluster,acres,estimated_yield_bu_ac,estimated_total_bushels,confidence
3135400007,1,"Corn-like (early peak, fast decline)",76.9449534731313,14.364185663279319,19.82723263462387,237.5102383941303,4709.170749745395,0.6366647997099751
3135400009,2,"Soybean-like (later peak, slower decline)",86.05274356058112,93.17195706782371,36.84613175517851,82.54831889506147,3041.5862341759266,0.6018847975557874
3136100001,1,"Corn-like (early peak, fast decline)",91.03449712599799,93.87530898104916,160.39948850440757,252.6286008892783,40521.49836422436,0.5660334649315621
3136200001,1,"Corn-like (early peak, fast decline)",90.3393119998802,92.19994507003571,119.83169595805371,251.88265332725447,30183.525530619405,0.5384701252497535
3136200002,0,Non-row-crop (already green in April),96.72472289541753,45.9546925566343,38.45767041953355,,,1.0
3136300001,1,"Corn-like (early peak, fast decline)",89.54738092368737,90.00274649821478,79.140775572834,251.03289542337663,19866.938038100157,0.6592123525044322
3136300002,1,"Corn-like (early peak, fast decline)",85.87105921233223,69.21175501235925,38.33013341965502,247.08812860548602,9470.920935861157,0.6267370471320124
3136300008,1,"Corn-like (early peak, fast decline)",86.79596242112966,75.77588574567426,50.18405847587766,248.08056827053363,12449.68974481742,0.60583842136534
3136400001,1,"Corn-like (early peak, fast decline)",92.54258105530077,96.04504257072233,39.80759375910969,254.24680514613996,10120.953533809059,0.5385175993045522
3136400006,1,"Corn-like (early peak, fast decline)",86.15594114622954,70.83218895907719,98.85262531951817,247.39381262557148,24455.5278658427,0.5927715525354502
3201100006,2,"Soybean-like (later peak, slower decline)",76.03571055087689,41.35647408084037,301.70274246515004,73.00402169019067,22025.513554915822,0.7619891540019403
3201300001,1,"Corn-like (early peak, fast decline)",85.47400035238229,65.97088711892337,151.36485102656897,246.6620764973035,37335.96846291851,0.6179404036405869
3201400001,1,"Corn-like (early peak, fast decline)",92.00030196527989,95.35841801702828,146.6161742429382,253.66492882292724,37191.381403624815,0.5247630998019376
3202100001,2,"Soybean-like (later peak, slower decline)",72.81931418754813,23.22448047499429,86.33191759264288,69.93941735170687,6038.004015285014,0.7122320834334117
3202100002,0,Non-row-crop (already green in April),111.22192159942705,80.64724919093851,39.568471640865035,,,1.0
3202100003,2,"Soybean-like (later peak, slower decline)",73.56522260499473,27.01530029687143,59.2366325405708,70.65012396681219,4185.075432367828,0.6906709142525361
3202200003,2,"Soybean-like (later peak, slower decline)",84.00290797114874,86.80063941539164,58.61267664784827,80.59522159891493,4723.901662938878,0.8092027313951936
3202200005,2,"Soybean-like (later peak, slower decline)",75.64519427087502,38.661794930349394,84.60514142254843,72.63193512163615,6145.035142759389,0.72214091754378
3202300002,1,"Corn-like (early peak, fast decline)",80.16758778761132,26.91568250480637,78.53863313858193,240.96818954968097,18925.312237110666,0.6233312573264705
3202300003,2,"Soybean-like (later peak, slower decline)",77.83268907572722,52.021009362868234,78.92705648115172,74.71619505483135,5897.129347149423,0.700343744034023
3202400007,2,"Soybean-like (later peak, slower decline)",70.67766667415263,15.026261703585295,51.47139256973285,67.89884102974436,3494.8479016718557,0.6368772836773693
3202400008,2,"Soybean-like (later peak, slower decline)",68.10140806449195,8.129709979447362,51.69622496541076,65.44416429828227,3383.2162402373033,0.7116977312939395
3202400009,2,"Soybean-like (later peak, slower decline)",70.36324483276616,14.04430235213519,49.96268859238134,67.59925776002886,3377.4406645404397,0.6883463142212728
3203100002,1,"Corn-like (early peak, fast decline)",86.26593409742378,71.93078824498764,164.95825111367705,247.51183726490942,40829.1198051525,0.5000997938642009
3203200001,2,"Soybean-like (later peak, slower decline)",70.94971762171953,15.93971226307376,87.46441784183223,68.15805302354829,5961.404428937384,0.5500186334090291
