,early_ndvi,peak_ndvi,peak_doy,green_up_rate,decline_rate,cluster,confidence
1002200007,0.10763216696923798,0.7033911502722537,211,0.034608167479402686,-0.026133549944751526,2,1.0
1002300001,0.10205551646321193,0.7435999555048326,234,0.019360608585211568,-0.016873220519923446,2,1.0
1002400002,0.12879876093033257,0.7322047018348624,234,0.02316523303257681,-0.021146185863728982,2,1.0
1003100001,0.10295127354059751,0.759395541397294,199,0.02255100452690394,-0.02404942521206297,2,0.5
1003100006,0.10494479215346635,0.7993408520603056,234,0.028081878625255463,-0.009617041043052128,2,1.0
1003100013,0.10770934903485348,0.677848689892392,234,0.01937421782423015,-0.016046237667659592,2,1.0
1003100014,0.10171811410249317,0.6249667116694503,234,0.018693354305391843,-0.013444102893847142,2,1.0
1003200001,0.10844359869071146,0.7457979172255007,195,0.03696370891107049,-0.03772374994216547,1,0.7129882455959912
1003200002,0.10887151654482773,0.7233117177843016,199,0.04443586007013523,-0.03268242004551568,1,0.5
1003200005,0.10175277199206492,0.8307613867596103,234,0.027469729373821642,-0.006732418836143213,2,1.0
1003300001,0.11600658902604824,0.6559600637659599,199,0.022295627221097174,-0.0185442282694515,2,0.5
1003300002,0.10746148916391227,0.6980923872727615,211,0.02368732827094963,-0.01994149347130912,2,1.0
1003300003,0.132333122208451,0.7446158568783583,195,0.03531264317105292,-0.03597105112581482,1,0.7129882455959912
1003400007,0.11768463890618953,0.760492000939711,195,0.039064476473510225,-0.0325410743765462,1,0.7129882455959912
1003400008,0.11955497678646371,0.7058534975405093,195,0.030655003416973234,-0.02081686111309937,1,0.7129882455959912
1004100001,0.12408381615033205,0.7114093884961702,234,0.0173273975547642,-0.0176130198288883,2,1.0
1004200002,0.12558477284063396,0.6535685857137045,195,0.029415678645685422,-0.03360013968455703,1,0.7129882455959912
1004200005,0.12060191623935758,0.700663827622163,195,0.027022440842953008,-0.026120854423426834,1,0.7129882455959912
1004200006,0.10693059326627645,0.7144406563895089,195,0.027157960569692892,-0.029510188234201776,1,0.7129882455959912
1004200008,0.10635477399794081,0.7807434801054736,234,0.02304229243017151,-0.02386769249169174,2,1.0
1004200009,0.10876248577448326,0.7119407653808594,195,0.02854770107033909,-0.03438397399274444,1,0.7129882455959912
1004300005,0.10588873169942387,0.8539557618327013,199,0.025780920181735795,-0.018998529353616525,2,0.5
1004300006,0.10975596433109899,0.8207100593026883,234,0.026170446219688566,-0.012881889957921545,2,1.0
1004400001,0.11864110194594406,0.7301426154106764,234,0.027872244350920998,-0.01084346924126103,2,1.0
